Year,population
1994,57943000
1995,58095000
1996,58239000
1997,58395000
1998,58580000
1999,58785000
2000,59000000
2001,59239000
2002,59501000
2003,59794000
2004,60182000
2005,60620000
2006,61073000
2007,61571000
2008,62042000
2009,62510000
2010,63022000
2011,63495000
2012,63905000
2013,64351000
2014,64853000
2015,65379000
2016,65844000
2017,66238000
2018,66616000
2019,66996000
2020,67200000
2021,67500000
2022,67800000
2023,68100000
2024,68400000
2025,68700000
2026,68900000
2027,69200000
2028,69400000
2029,69600000
2030,69800000
2031,70100000
2032,70300000
2033,70500000
2034,70700000
2035,70900000
2036,71100000
2037,71300000
2038,71400000
2039,71600000
2040,71800000
2041,72000000
2042,72200000
2043,72400000
