Date,Battery Electric,Plug-in Hybrid Electric,Range-Extended Electric,Hybrid Electric,Fuel cell electric,Other fuels,Total
2010 Q1,8993.00,0.00,0.00,0.00,0.00,2.00,8995.00
2010 Q2,9098.00,20.00,0.00,0.00,0.00,2.00,9120.00
2010 Q3,8897.00,20.00,0.00,0.00,0.00,2.00,8919.00
2010 Q4,8969.00,21.00,0.00,0.00,0.00,2.00,8992.00
2011 Q1,9404.00,24.00,0.00,0.00,0.00,2.00,9430.00
2011 Q2,9763.00,24.00,0.00,0.00,0.00,2.00,9789.00
2011 Q3,9841.00,24.00,0.00,1.00,0.00,1.00,9867.00
2011 Q4,9925.00,24.00,4.00,1.00,0.00,1.00,9955.00
2012 Q1,10215.00,24.00,29.00,1.00,0.00,2.00,10271.00
2012 Q2,10523.00,54.00,267.00,1.00,0.00,12.00,10857.00
2012 Q3,10514.00,368.00,416.00,1.00,5.00,12.00,11316.00
2012 Q4,11035.00,483.00,526.00,3.00,5.00,13.00,12065.00
2013 Q1,11258.00,683.00,622.00,3.00,5.00,13.00,12584.00
2013 Q2,11893.00,825.00,693.00,2.00,5.00,3.00,13421.00
2013 Q3,12257.00,1004.00,764.00,2.00,5.00,3.00,14035.00
2013 Q4,12890.00,1160.00,906.00,4.00,5.00,3.00,14968.00
2014 Q1,14108.00,1363.00,1194.00,3.00,5.00,3.00,16676.00
2014 Q2,15514.00,2056.00,1465.00,4.00,5.00,3.00,19047.00
2014 Q3,17456.00,4513.00,1773.00,5.00,8.00,4.00,23759.00
2014 Q4,19252.00,7437.00,2192.00,5.00,11.00,3.00,28900.00
2015 Q1,21499.00,12666.00,2666.00,6.00,12.00,3.00,36852.00
2015 Q2,23349.00,16065.00,2953.00,8.00,12.00,4.00,42391.00
2015 Q3,25488.00,19641.00,3337.00,8.00,15.00,4.00,48493.00
2015 Q4,28261.00,22932.00,3833.00,9.00,22.00,3.00,55060.00
2016 Q1,31287.00,30127.00,4238.00,363.00,29.00,3.00,66047.00
2016 Q2,33094.00,35935.00,4517.00,1248.00,31.00,3.00,74828.00
2016 Q3,35903.00,42053.00,5079.00,2035.00,27.00,3.00,85100.00
2016 Q4,37917.00,47151.00,5595.00,2897.00,27.00,3.00,93590.00
2017 Q1,42057.00,53985.00,6304.00,3951.00,45.00,3.00,106345.00
2017 Q2,44851.00,60190.00,6848.00,4718.00,48.00,3.00,116658.00
2017 Q3,48646.00,68455.00,7441.00,5622.00,57.00,3.00,130224.00
2017 Q4,51183.00,76068.00,7827.00,6503.00,62.00,3.00,141646.00
2018 Q1,55244.00,84726.00,8155.00,7099.00,63.00,3.00,155290.00
2018 Q2,58468.00,93942.00,8772.00,7255.00,92.00,2.00,168531.00
2018 Q3,62634.00,103694.00,9742.00,7279.00,92.00,2.00,183443.00
2018 Q4,67076.00,112967.00,10870.00,7245.00,99.00,2.00,198259.00
2019 Q1,72730.00,120748.00,11440.00,7281.00,123.00,4.00,212326.00
2019 Q2,79185.00,126230.00,11985.00,7230.00,139.00,4.00,224773.00
2019 Q3,92316.00,132851.00,12594.00,7193.00,180.00,5.00,245139.00
2019 Q4,105964.00,142782.00,13226.00,7192.00,207.00,6.00,269377.00
2020 Q1,124937.00,154188.00,13584.00,7070.00,219.00,19.00,300017.00
2020 Q2,137442.00,159036.00,13562.00,6985.00,222.00,19.00,317266.00
2020 Q3,174423.00,177744.00,13882.00,6917.00,235.00,22.00,373223.00
