Date,Great Britain: Reported,Great Britain: e-NEDC 3,Great Britain: WLTP 4,UK: Reported 2,UK: e-NEDC 3,UK: WLTP 4
2003 Q1,172.8,,,,,
2003 Q2,172.6,,,,,
2003 Q3,172.4,,,,,
2003 Q4,172.4,,,,,
2004 Q1,171.6,,,,,
2004 Q2,172.6,,,,,
2004 Q3,170.2,,,,,
2004 Q4,170.6,,,,,
2005 Q1,169.5,,,,,
2005 Q2,170.4,,,,,
2005 Q3,168.9,,,,,
2005 Q4,170.1,,,,,
2006 Q1,168.4,,,,,
2006 Q2,168.1,,,,,
2006 Q3,166.5,,,,,
2006 Q4,168.0,,,,,
2007 Q1,165.5,,,,,
2007 Q2,165.6,,,,,
2007 Q3,164.1,,,,,
2007 Q4,163.3,,,,,
2008 Q1,160.8,,,,,
2008 Q2,159.3,,,,,
2008 Q3,156.0,,,,,
2008 Q4,154.9,,,,,
2009 Q1,153.5,,,,,
2009 Q2,151.5,,,,,
2009 Q3,147.4,,,,,
2009 Q4,147.2,,,,,
2010 Q1,145.5,,,,,
2010 Q2,145.1,,,,,
2010 Q3,143.2,,,,,
2010 Q4,143.0,,,,,
2011 Q1,140.3,,,,,
2011 Q2,138.8,,,,,
2011 Q3,136.6,,,,,
2011 Q4,136.5,,,,,
2012 Q1,134.7,,,,,
2012 Q2,133.2,,,,,
2012 Q3,131.9,,,,,
2012 Q4,131.6,,,,,
2013 Q1,129.7,,,,,
2013 Q2,128.8,,,,,
2013 Q3,127.6,,,,,
2013 Q4,127.4,,,,,
2014 Q1,126.1,,,,,
2014 Q2,125.9,,,,,
2014 Q3,123.6,,,123.6,,
2014 Q4,123.0,,,123.0,,
2015 Q1,122.3,,,122.3,,
2015 Q2,122.1,,,122.1,,
2015 Q3,120.5,,,120.5,,
2015 Q4,120.5,,,120.5,,
2016 Q1,119.8,,,119.8,,
2016 Q2,120.4,,,120.4,,
2016 Q3,120.2,,,120.2,,
2016 Q4,120.8,,,120.8,,
2017 Q1,120.5,,,120.5,,
2017 Q2,121.3,,,121.3,,
2017 Q3,121.3,,,121.2,,
2017 Q4,122.3,,,122.3,,
2018 Q1,122.5,,,122.5,,
2018 Q2,123.6,,,123.6,,
2018 Q3,126.5,,,126.5,,
2018 Q4,128.0,127.4,151.5,127.9,127.4,151.5
2019 Q1,128.8,128.6,153.5,128.7,128.5,153.4
2019 Q2,129.7,129.9,155.2,129.7,129.8,155.2
2019 Q3,126.9,127.1,151.4,126.8,127.0,151.4
2019 Q4,125.1,124.9,149.6,125.1,124.9,149.6
2020 Q1,118.3,118.0,142.8,118.3,118.1,142.8
2020 Q2,136.0,114.9,136.0,136.1,115.0,136.1
2020 Q3,135.4,114.2,135.4,135.4,114.2,135.4
